"No.","Time","Source","Destination","Protocol","Length","Info"
"48","15.011134178","10.0.2.15","192.168.56.1","TCP","54","2852  >  8000 [RST] Seq=1 Win=0 Len=0"
"49","16.010523309","10.0.2.15","192.168.56.1","TCP","54","2853  >  8000 [SYN] Seq=0 Win=512 Len=0"
"50","16.012089648","192.168.56.1","10.0.2.15","TCP","60","8000  >  2853 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"51","16.012144035","10.0.2.15","192.168.56.1","TCP","54","2853  >  8000 [RST] Seq=1 Win=0 Len=0"
"52","17.010974646","10.0.2.15","192.168.56.1","TCP","54","2854  >  8000 [SYN] Seq=0 Win=512 Len=0"
"53","17.012092290","192.168.56.1","10.0.2.15","TCP","60","8000  >  2854 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"54","17.012138948","10.0.2.15","192.168.56.1","TCP","54","2854  >  8000 [RST] Seq=1 Win=0 Len=0"
"55","18.011631203","10.0.2.15","192.168.56.1","TCP","54","2855  >  8000 [SYN] Seq=0 Win=512 Len=0"
"56","18.012782079","192.168.56.1","10.0.2.15","TCP","60","8000  >  2855 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"57","18.012825032","10.0.2.15","192.168.56.1","TCP","54","2855  >  8000 [RST] Seq=1 Win=0 Len=0"
"58","19.012050740","10.0.2.15","192.168.56.1","TCP","54","2856  >  8000 [SYN] Seq=0 Win=512 Len=0"
"59","19.013413016","192.168.56.1","10.0.2.15","TCP","60","8000  >  2856 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"60","19.013461169","10.0.2.15","192.168.56.1","TCP","54","2856  >  8000 [RST] Seq=1 Win=0 Len=0"
"61","20.013052012","10.0.2.15","192.168.56.1","TCP","54","2857  >  8000 [SYN] Seq=0 Win=512 Len=0"
"62","20.014531266","192.168.56.1","10.0.2.15","TCP","60","8000  >  2857 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"63","20.014645447","10.0.2.15","192.168.56.1","TCP","54","2857  >  8000 [RST] Seq=1 Win=0 Len=0"
"64","21.013991665","10.0.2.15","192.168.56.1","TCP","54","2858  >  8000 [SYN] Seq=0 Win=512 Len=0"
"65","21.015307872","192.168.56.1","10.0.2.15","TCP","60","8000  >  2858 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"66","21.015357372","10.0.2.15","192.168.56.1","TCP","54","2858  >  8000 [RST] Seq=1 Win=0 Len=0"
"67","22.014876674","10.0.2.15","192.168.56.1","TCP","54","2859  >  8000 [SYN] Seq=0 Win=512 Len=0"
"68","22.015990689","192.168.56.1","10.0.2.15","TCP","60","8000  >  2859 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"69","22.016033899","10.0.2.15","192.168.56.1","TCP","54","2859  >  8000 [RST] Seq=1 Win=0 Len=0"
"70","23.016404737","10.0.2.15","192.168.56.1","TCP","54","2860  >  8000 [SYN] Seq=0 Win=512 Len=0"
"71","23.017389932","192.168.56.1","10.0.2.15","TCP","60","8000  >  2860 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"72","23.017436424","10.0.2.15","192.168.56.1","TCP","54","2860  >  8000 [RST] Seq=1 Win=0 Len=0"
"73","24.016788415","10.0.2.15","192.168.56.1","TCP","54","2861  >  8000 [SYN] Seq=0 Win=512 Len=0"
"74","24.018561662","192.168.56.1","10.0.2.15","TCP","60","8000  >  2861 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"75","24.018632604","10.0.2.15","192.168.56.1","TCP","54","2861  >  8000 [RST] Seq=1 Win=0 Len=0"
"76","25.017964377","10.0.2.15","192.168.56.1","TCP","54","2862  >  8000 [SYN] Seq=0 Win=512 Len=0"
"77","25.019463046","192.168.56.1","10.0.2.15","TCP","60","8000  >  2862 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"78","25.019524624","10.0.2.15","192.168.56.1","TCP","54","2862  >  8000 [RST] Seq=1 Win=0 Len=0"
"79","26.018622102","10.0.2.15","192.168.56.1","TCP","54","2863  >  8000 [SYN] Seq=0 Win=512 Len=0"
"80","26.019584588","192.168.56.1","10.0.2.15","TCP","60","8000  >  2863 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"81","26.019617981","10.0.2.15","192.168.56.1","TCP","54","2863  >  8000 [RST] Seq=1 Win=0 Len=0"
"82","27.019109824","10.0.2.15","192.168.56.1","TCP","54","2864  >  8000 [SYN] Seq=0 Win=512 Len=0"
"83","27.020055080","192.168.56.1","10.0.2.15","TCP","60","8000  >  2864 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"84","27.020096329","10.0.2.15","192.168.56.1","TCP","54","2864  >  8000 [RST] Seq=1 Win=0 Len=0"
"85","28.019572194","10.0.2.15","192.168.56.1","TCP","54","2865  >  8000 [SYN] Seq=0 Win=512 Len=0"
"86","28.020932497","192.168.56.1","10.0.2.15","TCP","60","8000  >  2865 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"87","28.020991396","10.0.2.15","192.168.56.1","TCP","54","2865  >  8000 [RST] Seq=1 Win=0 Len=0"
"88","29.020147122","10.0.2.15","192.168.56.1","TCP","54","2866  >  8000 [SYN] Seq=0 Win=512 Len=0"
"89","29.020777319","192.168.56.1","10.0.2.15","TCP","60","8000  >  2866 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"90","29.020802319","10.0.2.15","192.168.56.1","TCP","54","2866  >  8000 [RST] Seq=1 Win=0 Len=0"
"91","30.020372737","10.0.2.15","192.168.56.1","TCP","54","2867  >  8000 [SYN] Seq=0 Win=512 Len=0"
"92","30.021082759","192.168.56.1","10.0.2.15","TCP","60","8000  >  2867 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"93","30.021114552","10.0.2.15","192.168.56.1","TCP","54","2867  >  8000 [RST] Seq=1 Win=0 Len=0"
"94","31.021228840","10.0.2.15","192.168.56.1","TCP","54","2868  >  8000 [SYN] Seq=0 Win=512 Len=0"
"95","31.022247084","192.168.56.1","10.0.2.15","TCP","60","8000  >  2868 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"96","31.022281715","10.0.2.15","192.168.56.1","TCP","54","2868  >  8000 [RST] Seq=1 Win=0 Len=0"
"97","32.021661432","10.0.2.15","192.168.56.1","TCP","54","2869  >  8000 [SYN] Seq=0 Win=512 Len=0"
"98","32.022594488","192.168.56.1","10.0.2.15","TCP","60","8000  >  2869 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"99","32.022637656","10.0.2.15","192.168.56.1","TCP","54","2869  >  8000 [RST] Seq=1 Win=0 Len=0"
"100","33.022146965","10.0.2.15","192.168.56.1","TCP","54","2870  >  8000 [SYN] Seq=0 Win=512 Len=0"
"101","33.024111871","192.168.56.1","10.0.2.15","TCP","60","8000  >  2870 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"102","33.024182368","10.0.2.15","192.168.56.1","TCP","54","2870  >  8000 [RST] Seq=1 Win=0 Len=0"
"103","34.022622539","10.0.2.15","192.168.56.1","TCP","54","2871  >  8000 [SYN] Seq=0 Win=512 Len=0"
"104","34.023514783","192.168.56.1","10.0.2.15","TCP","60","8000  >  2871 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"105","34.023554789","10.0.2.15","192.168.56.1","TCP","54","2871  >  8000 [RST] Seq=1 Win=0 Len=0"
"106","35.023250890","10.0.2.15","192.168.56.1","TCP","54","2872  >  8000 [SYN] Seq=0 Win=512 Len=0"
"107","35.024227804","192.168.56.1","10.0.2.15","TCP","60","8000  >  2872 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"108","35.024270073","10.0.2.15","192.168.56.1","TCP","54","2872  >  8000 [RST] Seq=1 Win=0 Len=0"
"109","36.023763431","10.0.2.15","192.168.56.1","TCP","54","2873  >  8000 [SYN] Seq=0 Win=512 Len=0"
"110","36.025127602","192.168.56.1","10.0.2.15","TCP","60","8000  >  2873 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"111","36.025257798","10.0.2.15","192.168.56.1","TCP","54","2873  >  8000 [RST] Seq=1 Win=0 Len=0"
"112","37.024289674","10.0.2.15","192.168.56.1","TCP","54","2874  >  8000 [SYN] Seq=0 Win=512 Len=0"
"113","37.028277900","192.168.56.1","10.0.2.15","TCP","60","8000  >  2874 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"114","37.028395205","10.0.2.15","192.168.56.1","TCP","54","2874  >  8000 [RST] Seq=1 Win=0 Len=0"
"115","38.025116087","10.0.2.15","192.168.56.1","TCP","54","2875  >  8000 [SYN] Seq=0 Win=512 Len=0"
"116","38.026484809","192.168.56.1","10.0.2.15","TCP","60","8000  >  2875 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"117","38.026547651","10.0.2.15","192.168.56.1","TCP","54","2875  >  8000 [RST] Seq=1 Win=0 Len=0"
"118","39.025728224","10.0.2.15","192.168.56.1","TCP","54","2876  >  8000 [SYN] Seq=0 Win=512 Len=0"
"119","39.027162548","192.168.56.1","10.0.2.15","TCP","60","8000  >  2876 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"120","39.027213316","10.0.2.15","192.168.56.1","TCP","54","2876  >  8000 [RST] Seq=1 Win=0 Len=0"
"121","40.026234114","10.0.2.15","192.168.56.1","TCP","54","2877  >  8000 [SYN] Seq=0 Win=512 Len=0"
"122","40.027396157","192.168.56.1","10.0.2.15","TCP","60","8000  >  2877 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"123","40.027436494","10.0.2.15","192.168.56.1","TCP","54","2877  >  8000 [RST] Seq=1 Win=0 Len=0"
"124","41.026744242","10.0.2.15","192.168.56.1","TCP","54","2878  >  8000 [SYN] Seq=0 Win=512 Len=0"
"125","41.027583501","192.168.56.1","10.0.2.15","TCP","60","8000  >  2878 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"126","41.027619044","10.0.2.15","192.168.56.1","TCP","54","2878  >  8000 [RST] Seq=1 Win=0 Len=0"
"127","42.027665747","10.0.2.15","192.168.56.1","TCP","54","2879  >  8000 [SYN] Seq=0 Win=512 Len=0"
"128","42.029184482","192.168.56.1","10.0.2.15","TCP","60","8000  >  2879 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"129","42.029251435","10.0.2.15","192.168.56.1","TCP","54","2879  >  8000 [RST] Seq=1 Win=0 Len=0"
"130","43.028310167","10.0.2.15","192.168.56.1","TCP","54","2880  >  8000 [SYN] Seq=0 Win=512 Len=0"
"131","43.029796210","192.168.56.1","10.0.2.15","TCP","60","8000  >  2880 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"132","43.029863928","10.0.2.15","192.168.56.1","TCP","54","2880  >  8000 [RST] Seq=1 Win=0 Len=0"
"133","44.029858706","10.0.2.15","192.168.56.1","TCP","54","2881  >  8000 [SYN] Seq=0 Win=512 Len=0"
"134","44.031588950","192.168.56.1","10.0.2.15","TCP","60","8000  >  2881 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"135","44.031667617","10.0.2.15","192.168.56.1","TCP","54","2881  >  8000 [RST] Seq=1 Win=0 Len=0"
"136","45.030779956","10.0.2.15","192.168.56.1","TCP","54","2882  >  8000 [SYN] Seq=0 Win=512 Len=0"
"137","45.032290721","192.168.56.1","10.0.2.15","TCP","60","8000  >  2882 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"138","45.032347349","10.0.2.15","192.168.56.1","TCP","54","2882  >  8000 [RST] Seq=1 Win=0 Len=0"
"139","46.031362665","10.0.2.15","192.168.56.1","TCP","54","2883  >  8000 [SYN] Seq=0 Win=512 Len=0"
"140","46.032959970","192.168.56.1","10.0.2.15","TCP","60","8000  >  2883 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"141","46.033028896","10.0.2.15","192.168.56.1","TCP","54","2883  >  8000 [RST] Seq=1 Win=0 Len=0"
"142","47.031864222","10.0.2.15","192.168.56.1","TCP","54","2884  >  8000 [SYN] Seq=0 Win=512 Len=0"
"143","47.032443088","192.168.56.1","10.0.2.15","TCP","60","8000  >  2884 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"144","47.032476435","10.0.2.15","192.168.56.1","TCP","54","2884  >  8000 [RST] Seq=1 Win=0 Len=0"
"145","47.055281639","PCSSystemtec_10:57:19","52:54:00:12:35:02","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"146","47.055706762","52:54:00:12:35:02","PCSSystemtec_10:57:19","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"147","48.032085432","10.0.2.15","192.168.56.1","TCP","54","2885  >  8000 [SYN] Seq=0 Win=512 Len=0"
"148","48.032767120","192.168.56.1","10.0.2.15","TCP","60","8000  >  2885 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"149","48.032800182","10.0.2.15","192.168.56.1","TCP","54","2885  >  8000 [RST] Seq=1 Win=0 Len=0"
"150","49.032309087","10.0.2.15","192.168.56.1","TCP","54","2886  >  8000 [SYN] Seq=0 Win=512 Len=0"
"151","49.032927570","192.168.56.1","10.0.2.15","TCP","60","8000  >  2886 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"152","49.032969972","10.0.2.15","192.168.56.1","TCP","54","2886  >  8000 [RST] Seq=1 Win=0 Len=0"
"153","50.032992064","10.0.2.15","192.168.56.1","TCP","54","2887  >  8000 [SYN] Seq=0 Win=512 Len=0"
"154","50.034649759","192.168.56.1","10.0.2.15","TCP","60","8000  >  2887 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"155","50.034722731","10.0.2.15","192.168.56.1","TCP","54","2887  >  8000 [RST] Seq=1 Win=0 Len=0"
"156","51.033819325","10.0.2.15","192.168.56.1","TCP","54","2888  >  8000 [SYN] Seq=0 Win=512 Len=0"
"157","51.035247681","192.168.56.1","10.0.2.15","TCP","60","8000  >  2888 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"158","51.035308150","10.0.2.15","192.168.56.1","TCP","54","2888  >  8000 [RST] Seq=1 Win=0 Len=0"
"159","52.035093140","10.0.2.15","192.168.56.1","TCP","54","2889  >  8000 [SYN] Seq=0 Win=512 Len=0"
"160","52.036310313","192.168.56.1","10.0.2.15","TCP","60","8000  >  2889 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"161","52.036358281","10.0.2.15","192.168.56.1","TCP","54","2889  >  8000 [RST] Seq=1 Win=0 Len=0"
"162","53.036008811","10.0.2.15","192.168.56.1","TCP","54","2890  >  8000 [SYN] Seq=0 Win=512 Len=0"
"163","53.036874208","192.168.56.1","10.0.2.15","TCP","60","8000  >  2890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"164","53.036908033","10.0.2.15","192.168.56.1","TCP","54","2890  >  8000 [RST] Seq=1 Win=0 Len=0"
"165","54.036280739","10.0.2.15","192.168.56.1","TCP","54","2891  >  8000 [SYN] Seq=0 Win=512 Len=0"
"166","54.037038591","192.168.56.1","10.0.2.15","TCP","60","8000  >  2891 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"167","54.037066439","10.0.2.15","192.168.56.1","TCP","54","2891  >  8000 [RST] Seq=1 Win=0 Len=0"
"168","55.036859863","10.0.2.15","192.168.56.1","TCP","54","2892  >  8000 [SYN] Seq=0 Win=512 Len=0"
"169","55.037485951","192.168.56.1","10.0.2.15","TCP","60","8000  >  2892 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"170","55.037517205","10.0.2.15","192.168.56.1","TCP","54","2892  >  8000 [RST] Seq=1 Win=0 Len=0"
"171","56.037136020","10.0.2.15","192.168.56.1","TCP","54","2893  >  8000 [SYN] Seq=0 Win=512 Len=0"
"172","56.038247507","192.168.56.1","10.0.2.15","TCP","60","8000  >  2893 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"173","56.038295763","10.0.2.15","192.168.56.1","TCP","54","2893  >  8000 [RST] Seq=1 Win=0 Len=0"
"174","57.038255678","10.0.2.15","192.168.56.1","TCP","54","2894  >  8000 [SYN] Seq=0 Win=512 Len=0"
"175","57.039486808","192.168.56.1","10.0.2.15","TCP","60","8000  >  2894 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"176","57.039537398","10.0.2.15","192.168.56.1","TCP","54","2894  >  8000 [RST] Seq=1 Win=0 Len=0"
"177","58.040661642","10.0.2.15","192.168.56.1","TCP","54","2895  >  8000 [SYN] Seq=0 Win=512 Len=0"
"178","58.042104889","192.168.56.1","10.0.2.15","TCP","60","8000  >  2895 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"179","58.042177699","10.0.2.15","192.168.56.1","TCP","54","2895  >  8000 [RST] Seq=1 Win=0 Len=0"
"180","59.041947601","10.0.2.15","192.168.56.1","TCP","54","2896  >  8000 [SYN] Seq=0 Win=512 Len=0"
"181","59.043513973","192.168.56.1","10.0.2.15","TCP","60","8000  >  2896 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"182","59.043567184","10.0.2.15","192.168.56.1","TCP","54","2896  >  8000 [RST] Seq=1 Win=0 Len=0"
"183","60.043777929","10.0.2.15","192.168.56.1","TCP","54","2897  >  8000 [SYN] Seq=0 Win=512 Len=0"
"184","60.045295129","192.168.56.1","10.0.2.15","TCP","60","8000  >  2897 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"185","60.045360730","10.0.2.15","192.168.56.1","TCP","54","2897  >  8000 [RST] Seq=1 Win=0 Len=0"
"186","61.044407229","10.0.2.15","192.168.56.1","TCP","54","2898  >  8000 [SYN] Seq=0 Win=512 Len=0"
"187","61.045763301","192.168.56.1","10.0.2.15","TCP","60","8000  >  2898 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"188","61.045822653","10.0.2.15","192.168.56.1","TCP","54","2898  >  8000 [RST] Seq=1 Win=0 Len=0"
"189","62.045002794","10.0.2.15","192.168.56.1","TCP","54","2899  >  8000 [SYN] Seq=0 Win=512 Len=0"
"190","62.045817524","192.168.56.1","10.0.2.15","TCP","60","8000  >  2899 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"191","62.045856431","10.0.2.15","192.168.56.1","TCP","54","2899  >  8000 [RST] Seq=1 Win=0 Len=0"
"192","63.046134426","10.0.2.15","192.168.56.1","TCP","54","2900  >  8000 [SYN] Seq=0 Win=512 Len=0"
"193","63.047559455","192.168.56.1","10.0.2.15","TCP","60","8000  >  2900 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"194","63.047619198","10.0.2.15","192.168.56.1","TCP","54","2900  >  8000 [RST] Seq=1 Win=0 Len=0"
"195","64.047114071","10.0.2.15","192.168.56.1","TCP","54","2901  >  8000 [SYN] Seq=0 Win=512 Len=0"
"196","64.048649837","192.168.56.1","10.0.2.15","TCP","60","8000  >  2901 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"197","64.048713804","10.0.2.15","192.168.56.1","TCP","54","2901  >  8000 [RST] Seq=1 Win=0 Len=0"
"198","65.047836102","10.0.2.15","192.168.56.1","TCP","54","2902  >  8000 [SYN] Seq=0 Win=512 Len=0"
"199","65.049340550","192.168.56.1","10.0.2.15","TCP","60","8000  >  2902 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"200","65.049406103","10.0.2.15","192.168.56.1","TCP","54","2902  >  8000 [RST] Seq=1 Win=0 Len=0"
"201","66.048295426","10.0.2.15","192.168.56.1","TCP","54","2903  >  8000 [SYN] Seq=0 Win=512 Len=0"
"202","66.049053003","192.168.56.1","10.0.2.15","TCP","60","8000  >  2903 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"203","66.049085413","10.0.2.15","192.168.56.1","TCP","54","2903  >  8000 [RST] Seq=1 Win=0 Len=0"
"204","67.049251373","10.0.2.15","192.168.56.1","TCP","54","2904  >  8000 [SYN] Seq=0 Win=512 Len=0"
"205","67.050935203","192.168.56.1","10.0.2.15","TCP","60","8000  >  2904 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"206","67.050995382","10.0.2.15","192.168.56.1","TCP","54","2904  >  8000 [RST] Seq=1 Win=0 Len=0"
"207","68.049944897","10.0.2.15","192.168.56.1","TCP","54","2905  >  8000 [SYN] Seq=0 Win=512 Len=0"
"208","68.051342690","192.168.56.1","10.0.2.15","TCP","60","8000  >  2905 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"209","68.051404823","10.0.2.15","192.168.56.1","TCP","54","2905  >  8000 [RST] Seq=1 Win=0 Len=0"
